Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,NK_cells
18C086_F1_F01_041.fcs,SEDXX11,BAL_pre_Unstim,Unstim,BAL,No Vax,3.02
18C086_F3_F03_043.fcs,SEDXX11,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,3.05
SEDXX20_G1_G01_045.fcs,SEDXX20,BAL_pre_Unstim,Unstim,BAL,No Vax,1.37
SEDXX20_G3_G03_047.fcs,SEDXX20,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,1.38
SEDXX6_F5_F05_049.fcs,SEDXX6,BAL_wk4_Unstim,Unstim,BAL,W4,4.92
SEDXX6_F7_F07_051.fcs,SEDXX6,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,5.05
20221_E1_E01_017.fcs,20221,BAL_wk8_Unstim,Unstim,BAL,W8,0.37
20221_E3_E03_019.fcs,20221,BAL_wk8_MtbL,Mtb_Lysate,BAL,W8,0.42
4219_E5_E05_037.fcs,4219,BAL_wk8_Unstim,Unstim,BAL,W8,1.27
4219_E7_E07_039.fcs,4219,BAL_wk8_MtbL,Mtb_Lysate,BAL,W8,1.38
20221_A1_A01_001.fcs,20221,PBMC_pre_Unstim,Unstim,PBMC,No Vax,4.26
20221_A3_A03_003.fcs,20221,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,4.67
4219_A5_A05_021.fcs,4219,PBMC_pre_Unstim,Unstim,PBMC,No Vax,3.74
4219_A7_A07_023.fcs,4219,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,3.82
20221_B1_B01_005.fcs,20221,PBMC_wk2_Unstim,Unstim,PBMC,W2,6.17
20221_B3_B03_007.fcs,20221,PBMC_wk2_MtbL,Mtb_Lysate,PBMC,W2,6.92
4219_B5_B05_025.fcs,4219,PBMC_wk2_Unstim,Unstim,PBMC,W2,1.47
4219_B7_B07_027.fcs,4219,PBMC_wk2_MtbL,Mtb_Lysate,PBMC,W2,1.69
20221_C1_C01_009.fcs,20221,PBMC_wk4_Unstim,Unstim,PBMC,W4,4.94
20221_C3_C03_011.fcs,20221,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,5.38
4219_C5_C05_029.fcs,4219,PBMC_wk4_Unstim,Unstim,PBMC,W4,1.31
4219_C7_C07_031.fcs,4219,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,1.57
20221_D1_D01_013.fcs,20221,PBMC_wk8_Unstim,Unstim,PBMC,W8,5.64
20221_D3_D03_015.fcs,20221,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,6.06
4219_D5_D05_033.fcs,4219,PBMC_wk8_Unstim,Unstim,PBMC,W8,0.36
4219_D7_D07_035.fcs,4219,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,0.24
18C086_F1_F01_041.fcs,SEDXX11,BAL_pre_Unstim,Unstim,BAL,No Vax,3.02
18C086_F3_F03_043.fcs,SEDXX11,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,3.05
SEDXX20_G1_G01_045.fcs,SEDXX20,BAL_pre_Unstim,Unstim,BAL,No Vax,1.37
SEDXX20_G3_G03_047.fcs,SEDXX20,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,1.38
SEDXX6_F5_F05_049.fcs,SEDXX6,BAL_wk4_Unstim,Unstim,BAL,W4,4.92
SEDXX6_F7_F07_051.fcs,SEDXX6,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,5.05
20221_E1_E01_017.fcs,20221,BAL_wk8_Unstim,Unstim,BAL,W8,0.37
