Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,Subset,NK
SEDXX16_F5_F05_045.fcs,SEDXX16,SEDXX16_BAL_pre,Unstim,BAL,No Vax,CD69+GZMB+,21.3
SEDXX16_F5_F05_045.fcs,SEDXX16,SEDXX16_BAL_pre,Unstim,BAL,No Vax,CD69-GZMB+,8.06
18C086_F1_F01_041.fcs,SEDXX11,SEDXX11_BAL_pre,Unstim,BAL,No Vax,CD69+GZMB+,30.3
18C086_F1_F01_041.fcs,SEDXX11,SEDXX11_BAL_pre,Unstim,BAL,No Vax,CD69-GZMB+,6.15
SEDXX20_G1_G01_045.fcs,SEDXX20,SEDXX20_BAL_pre,Unstim,BAL,No Vax,CD69+GZMB+,7
SEDXX20_G1_G01_045.fcs,SEDXX20,SEDXX20_BAL_pre,Unstim,BAL,No Vax,CD69-GZMB+,4.87
SEDXX22_BAL_E9_E09_065.fcs,SEDXX22,SEDXX22_BAL_pre,Unstim,BAL,No Vax,CD69+GZMB+,9.18
SEDXX22_BAL_E9_E09_065.fcs,SEDXX22,SEDXX22_BAL_pre,Unstim,BAL,No Vax,CD69-GZMB+,5.8
SEDXX19_BAL_E9_E09_042.fcs,SEDXX19,SEDXX19_BAL_pre,Unstim,BAL,No Vax,CD69+GZMB+,7.92
SEDXX19_BAL_E9_E09_042.fcs,SEDXX19,SEDXX19_BAL_pre,Unstim,BAL,No Vax,CD69-GZMB+,6.46
SEDXX18_F1_F01_041.fcs,SEDXX18,SEDXX18_BAL_pre,Unstim,BAL,No Vax,CD69+GZMB+,12.9
SEDXX18_F1_F01_041.fcs,SEDXX18,SEDXX18_BAL_pre,Unstim,BAL,No Vax,CD69-GZMB+,3.58
SEDXX23_BAL_F9_F09_085.fcs,SEDXX23,SEDXX23_BAL_pre,Unstim,BAL,No Vax,CD69+GZMB+,16.5
SEDXX23_BAL_F9_F09_085.fcs,SEDXX23,SEDXX23_BAL_pre,Unstim,BAL,No Vax,CD69-GZMB+,11.3
SEDXX21_BAL_E9_E09_081.fcs,SEDXX21,SEDXX21_BAL_pre,Unstim,BAL,No Vax,CD69+GZMB+,32
SEDXX21_BAL_E9_E09_081.fcs,SEDXX21,SEDXX21_BAL_pre,Unstim,BAL,No Vax,CD69-GZMB+,1.92
SEDXX5_BAL_A9_A09_049.fcs,SEDXX5,SEDXX5_BAL_wk4,Unstim,BAL,W4,CD69+GZMB+,57.5
SEDXX5_BAL_A9_A09_049.fcs,SEDXX5,SEDXX5_BAL_wk4,Unstim,BAL,W4,CD69-GZMB+,29.7
SEDXX2_BAL_B9_B09_053.fcs,SEDXX2,SEDXX2_BAL_wk4,Unstim,BAL,W4,CD69+GZMB+,15.5
SEDXX2_BAL_B9_B09_053.fcs,SEDXX2,SEDXX2_BAL_wk4,Unstim,BAL,W4,CD69-GZMB+,10.4
SEDXX15_BAL_D9_D09_061.fcs,SEDXX15,SEDXX15_BAL_wk4,Unstim,BAL,W4,CD69+GZMB+,8.82
SEDXX15_BAL_D9_D09_061.fcs,SEDXX15,SEDXX15_BAL_wk4,Unstim,BAL,W4,CD69-GZMB+,86.8
SEDXX6_F5_F05_049.fcs,SEDXX6,SEDXX6_BAL_wk4,Unstim,BAL,W4,CD69+GZMB+,55.1
SEDXX6_F5_F05_049.fcs,SEDXX6,SEDXX6_BAL_wk4,Unstim,BAL,W4,CD69-GZMB+,24.3
22619_BAL_G5_G05_077.fcs,22619,22619_BAL_wk4,Unstim,BAL,W4,CD69+GZMB+,17.6
22619_BAL_G5_G05_077.fcs,22619,22619_BAL_wk4,Unstim,BAL,W4,CD69-GZMB+,7.85
4319_BAL_C9_C09_057.fcs,4319,4319_BAL_wk4,Unstim,BAL,W4,CD69+GZMB+,19.8
4319_BAL_C9_C09_057.fcs,4319,4319_BAL_wk4,Unstim,BAL,W4,CD69-GZMB+,14.5
4819_BAL_F5_F05_073.fcs,4819,4819_BAL_wk4,Unstim,BAL,W4,CD69+GZMB+,33
4819_BAL_F5_F05_073.fcs,4819,4819_BAL_wk4,Unstim,BAL,W4,CD69-GZMB+,53.3
20221_E1_E01_017.fcs,20221,20221_BAL_wk8,Unstim,BAL,W8,CD69+GZMB+,35
20221_E1_E01_017.fcs,20221,20221_BAL_wk8,Unstim,BAL,W8,CD69-GZMB+,4.63
19521_BAL_A9_A09_026.fcs,19521,19521_BAL_wk8,Unstim,BAL,W8,CD69+GZMB+,20.3
19521_BAL_A9_A09_026.fcs,19521,19521_BAL_wk8,Unstim,BAL,W8,CD69-GZMB+,3.05
