NHP,ASP,CFU,Protection,TimePoint,NK,CD8,CD16,CD69pos,CD69neg
20221,20-0875.3,60,Protected,preBCG,0.33,45.6,20.8,87,12.7
20121,20-0875.3,0,Protected,preBCG,1,56.3,19.7,73.8,25
10121,20-0875.2,30,Protected,preBCG,0.2,12.8,42.1,88.3,11.7
19521,20-0875.3,120,Not Protected,preBCG,0.22,49.8,30,67.2,32.4
9621,20-0875.2,0,Protected,preBCG,0.63,44.7,5.59,86.9,13.1
20621,20-0875.3,21155,Not Protected,preBCG,0.57,54.1,17,85.4,13.2
5219,17-720.1a,8590,Not Protected,preBCG,0.32,19,1.42,96,3.97
22119,17-720.2,1560,Not Protected,preBCG,2.14,94,0.49,92.8,7.23
4519,17-720.1a,258,Not Protected,preBCG,0.34,2.98,0.75,93.3,6.71
4119,17-720.1a,695,Not Protected,preBCG,0.34,5.83,4.35,88.9,11.1
4219,17-720.1a,850,Not Protected,preBCG,0.37,20.9,1.41,84.2,15.8
21919,17-720.2,648,Not Protected,preBCG,0.72,9.71,8.96,76.1,23.9
22619,17-720.2,79050,Not Protected,preBCG,0.22,38.6,8.78,70.7,29.2
21819,17-720.2,0,Protected,preBCG,0.16,49,5.47,84.3,15.7
21219,17-720.2,0,Protected,preBCG,0.072,4.66,5.16,88,12
21519,17-720.2,252343,Not Protected,preBCG,0.3,22.7,7.76,72.7,27.3
8521,20-0875.2,756000,Not Protected,preBCG,0.61,8.52,8.68,92.5,7.49
19521,20-0875.3,120,Not Protected,preBCG,0.65,47.1,43.6,65.2,33
10221,20-0875.3,0,Protected,preBCG,0.86,31.6,84.5,70.3,28.9
8421,20-0875.2,0,Protected,preBCG,0.23,2.73,4.12,68,31.8
9621,20-0875.2,0,Protected,preBCG,1.94,35.7,0.63,87.8,12.2
10221,20-0875.2,0,Protected,preBCG,0.63,20.7,13.5,61.8,37.9
4319,17-720.1a,210,Not Protected,preBCG,0.44,4.93,3,93.7,6.34
4819,17-720.1a,60,Protected,preBCG,0.19,15.4,1.3,81.7,18.3
20221,20-0875.3,60,Protected,W2,1.19,60.9,49.2,73,26.1
20121,20-0875.3,0,Protected,W2,1.62,49.8,50.9,70.5,28.7
10121,20-0875.2,30,Protected,W2,0.8,13.3,48.4,57.3,42.6
19521,20-0875.3,120,Not Protected,W2,0.28,14.5,20.2,83.9,15.7
9621,20-0875.2,0,Protected,W2,2.5,58.1,74.3,30.6,69.1
20621,20-0875.3,21155,Not Protected,W2,0.89,37.4,54.1,58.1,40.4
5219,17-720.1a,8590,Not Protected,W2,1.45,24.1,32.7,80.5,19.5
22119,17-720.2,1560,Not Protected,W2,2.53,75.9,0.13,93.9,6.05
4519,17-720.1a,258,Not Protected,W2,2.03,1.81,31.2,87.9,12.1
4119,17-720.1a,695,Not Protected,W2,1.05,9.28,39.9,85.3,14.7
4219,17-720.1a,850,Not Protected,W2,1.28,35.6,32.6,96.9,3.12
21919,17-720.2,648,Not Protected,W2,1.25,1.38,66.9,85.6,14.4
22619,17-720.2,79050,Not Protected,W2,0.76,15.7,15.4,82.3,17.7
21819,17-720.2,0,Protected,W2,1.89,59.1,0.8,88.1,11.9
21219,17-720.2,0,Protected,W2,1.23,0.76,5.33,95,5.02
