Sample.,PTID,SAMPLE_ID,TimePoint,STIM,Tissue,Subset,CD4,CD8ab,CD8aa
SEDXX10_MtbL_02_1.fcs,SEDXX10,SEDXX10_preBCG_MtbL,No Vax,Mtb_lysate,BAL,CD154,0.14,0.32,0.06
SEDXX11_MtbL_02_1.fcs,SEDXX11,SEDXX11_preBCG_MtbL,No Vax,Mtb_lysate,BAL,CD154,0,0.28,0.4
SEDXX14_MtbL_02_1.fcs,SEDXX14,SEDXX14_preBCG_MtbL,No Vax,Mtb_lysate,BAL,CD154,0,0,0.19
SEDXX13_MtbL_02_1.fcs,SEDXX13,SEDXX13_preBCG_MtbL,No Vax,Mtb_lysate,BAL,CD154,0.56,0,0.75
SEDXX12_MtbL_01_1.fcs,SEDXX12,SEDXX12_preBCG_MtbL,No Vax,Mtb_lysate,BAL,CD154,0.63,0.3,0
SEDXX10_MtbL_02_1.fcs,SEDXX10,SEDXX10_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IFNg,0.059,0.153,0
SEDXX11_MtbL_02_1.fcs,SEDXX11,SEDXX11_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IFNg,0.33,0.88,2.65
SEDXX14_MtbL_02_1.fcs,SEDXX14,SEDXX14_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IFNg,1.01,0.357,1.56
SEDXX13_MtbL_02_1.fcs,SEDXX13,SEDXX13_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IFNg,3.11,2.19,2.7
SEDXX12_MtbL_01_1.fcs,SEDXX12,SEDXX12_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IFNg,2.41,6.64,3.15
SEDXX10_MtbL_02_1.fcs,SEDXX10,SEDXX10_preBCG_MtbL,No Vax,Mtb_lysate,BAL,TNF,0.14,0,0
SEDXX11_MtbL_02_1.fcs,SEDXX11,SEDXX11_preBCG_MtbL,No Vax,Mtb_lysate,BAL,TNF,0.24,0,1.32
SEDXX14_MtbL_02_1.fcs,SEDXX14,SEDXX14_preBCG_MtbL,No Vax,Mtb_lysate,BAL,TNF,0.019,0.062,0
SEDXX13_MtbL_02_1.fcs,SEDXX13,SEDXX13_preBCG_MtbL,No Vax,Mtb_lysate,BAL,TNF,0.06,0,0
SEDXX12_MtbL_01_1.fcs,SEDXX12,SEDXX12_preBCG_MtbL,No Vax,Mtb_lysate,BAL,TNF,0,1.07,0
SEDXX10_MtbL_02_1.fcs,SEDXX10,SEDXX10_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-2,0.036,0,0.17
SEDXX11_MtbL_02_1.fcs,SEDXX11,SEDXX11_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-2,0,0,0
SEDXX14_MtbL_02_1.fcs,SEDXX14,SEDXX14_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-2,0.051,0,0
SEDXX13_MtbL_02_1.fcs,SEDXX13,SEDXX13_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-2,0.334,0.015,0.05
SEDXX12_MtbL_01_1.fcs,SEDXX12,SEDXX12_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-2,0,0,0
SEDXX10_MtbL_02_1.fcs,SEDXX10,SEDXX10_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-17A,0,0.12,0
SEDXX11_MtbL_02_1.fcs,SEDXX11,SEDXX11_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-17A,0,0,0
SEDXX14_MtbL_02_1.fcs,SEDXX14,SEDXX14_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-17A,0,0,0
SEDXX13_MtbL_02_1.fcs,SEDXX13,SEDXX13_preBCG_MtbL,No Vax,Mtb_lysate,BAL,IL-17A,0.57,0.32,0.13
